date,promo_rate,tail_mean_h4
2022-11-17,0.250000,0.8644
2022-11-18,0.119048,-0.7716
2022-11-21,0.281250,0.1888
2022-11-22,0.027778,-0.2017
2022-11-23,0.275862,-0.0271
2022-11-24,0.107143,-0.0135
2022-11-25,0.125000,-0.1417
2022-11-28,0.263158,0.5213
2022-11-29,0.304348,0.0661
2022-11-30,0.101449,0.0934
2022-12-01,0.166667,0.0930
2022-12-02,0.150000,0.0250
2022-12-05,0.078947,0.2517
2022-12-06,0.147059,-0.1423
2022-12-07,0.150000,0.1164
2022-12-08,0.222222,-0.1198
2022-12-09,0.117647,0.1586
2022-12-12,0.100000,-0.1021
2022-12-13,0.228571,-0.1838
2022-12-14,0.142857,0.0123
2022-12-15,0.147059,0.1320
2022-12-16,0.222222,0.0263
2022-12-19,0.166667,-0.0162
2022-12-20,0.200000,0.3101
2022-12-21,0.058824,0.2911
2022-12-22,0.100000,-0.6371
2022-12-23,0.304348,0.1495
2022-12-26,0.034483,0.3785
2022-12-27,0.170213,0.2216
2022-12-28,0.100000,0.1528
2022-12-29,0.200000,-0.1787
2022-12-30,0.166667,0.0469
2023-01-03,0.185185,0.2241
2023-01-04,0.132353,0.4531
2023-01-05,0.076923,0.0126
2023-01-06,0.178571,0.1661
2023-01-09,0.038462,0.1940
2023-01-10,0.142857,0.0678
2023-01-11,0.153846,-0.4060
2023-01-12,0.076923,-0.0821
2023-01-13,0.125000,0.5287
2023-01-16,0.280000,-0.0247
2023-01-17,0.074074,0.1687
2023-01-18,0.227273,-0.0877
2023-01-19,0.086957,0.0712
2023-01-20,0.136364,0.1078
2023-01-30,0.368421,-0.0260
2023-01-31,0.161290,0.1715
2023-02-01,0.238095,0.5251
2023-02-02,0.090909,0.1176
2023-02-03,0.058824,0.6770
2023-02-06,0.259259,0.0115
2023-02-07,0.166667,0.5699
2023-02-08,0.192308,-0.3122
2023-02-09,0.157895,0.2919
2023-02-10,0.000000,0.1436
2023-02-13,0.250000,0.2827
2023-02-14,0.088235,0.1454
2023-02-15,0.315789,0.0390
2023-02-16,0.074074,-1.9084
2023-02-17,0.250000,-0.3163
2023-02-20,0.050000,0.4391
2023-02-21,0.029412,0.3814
